ASP;5
M2;5
P2;5
ORT;5
PP2;3
PORT;3
PM1;2
RMFP;2
EJV;2
UM;2
M1;5
P1;5
OE;5
FIZIKA;5
PP1;3
ENG;3
PKR;2
PM1;2
SOCIOLOGIJA;2
PM2;2
